اليوم,التاريخ,المرحلة,بوابة,هدف_العروض,عروض_مرسلة,ردود,مكالمات,صفقات_مغلقة,قيمة_متعاقدة_$,محصل_اليوم_$,ساعات_بيع,ساعات_تنفيذ,زمن_آخر_تنفيذ_L1,ملاحظات
1,,0-التأسيس,,0,,,,,,,,,,
2,,0-التأسيس,,0,,,,,,,,,,
3,,0-التأسيس,G1 قناة الدفع تعمل؟,0,,,,,,,,,,
4,,0-التأسيس,,0,,,,,,,,,,
5,,0-التأسيس,,0,,,,,,,,,,
6,,0-التأسيس,,0,,,,,,,,,,
7,,0-التأسيس,G2 القوالب جاهزة؟,0,,,,,,,,,,
8,,1-أول دولار,,4,,,,,,,,,,
9,,1-أول دولار,,4,,,,,,,,,,
10,,1-أول دولار,,4,,,,,,,,,,
11,,1-أول دولار,,4,,,,,,,,,,
12,,1-أول دولار,,4,,,,,,,,,,
13,,1-أول دولار,,4,,,,,,,,,,
14,,1-أول دولار,,4,,,,,,,,,,
15,,1-أول دولار,,4,,,,,,,,,,
16,,1-أول دولار,,4,,,,,,,,,,
17,,1-أول دولار,,4,,,,,,,,,,
18,,1-أول دولار,G3 صفقتان + تقييم؟,4,,,,,,,,,,
19,,2-الرفع,,4,,,,,,,,,,
20,,2-الرفع,,4,,,,,,,,,,
21,,2-الرفع,,4,,,,,,,,,,
22,,2-الرفع,,4,,,,,,,,,,
23,,2-الرفع,,4,,,,,,,,,,
24,,2-الرفع,,4,,,,,,,,,,
25,,2-الرفع,,4,,,,,,,,,,
26,,2-الرفع,,4,,,,,,,,,,
27,,2-الرفع,,4,,,,,,,,,,
28,,2-الرفع,,4,,,,,,,,,,
29,,2-الرفع,,4,,,,,,,,,,
30,,2-الرفع,,4,,,,,,,,,,
31,,2-الرفع,,4,,,,,,,,,,
32,,2-الرفع,G4 ‏2000$ متعاقد؟,4,,,,,,,,,,
33,,3-الدفعة الأخيرة,,4,,,,,,,,,,
34,,3-الدفعة الأخيرة,,4,,,,,,,,,,
35,,3-الدفعة الأخيرة,,4,,,,,,,,,,
36,,3-الدفعة الأخيرة,,4,,,,,,,,,,
37,,3-الدفعة الأخيرة,,4,,,,,,,,,,
38,,3-الدفعة الأخيرة,,4,,,,,,,,,,
39,,3-الدفعة الأخيرة,,4,,,,,,,,,,
40,,3-الدفعة الأخيرة,G5 آخر يوم بيع,4,,,,,,,,,,
41,,3-الدفعة الأخيرة,,0,,,,,,,,,,
42,,3-الدفعة الأخيرة,,0,,,,,,,,,,
43,,4-التحصيل,,0,,,,,,,,,,
44,,4-التحصيل,,0,,,,,,,,,,
45,,4-التحصيل,,0,,,,,,,,,,
46,,4-التحصيل,,0,,,,,,,,,,
47,,4-التحصيل,,0,,,,,,,,,,
48,,4-التحصيل,,0,,,,,,,,,,
49,,4-التحصيل,,0,,,,,,,,,,
50,,4-التحصيل,G6 الإغلاق,0,,,,,,,,,,
